id,platform,lang,kind,town,service,caption,chars,link,media_required,media_kind,media_brief,media_url,video_script,status,scheduled_for
"local-contractor-insurance-paterson-es-facebook","facebook","es","local","paterson","contractor-insurance","Lo que más nos preguntan en Paterson sobre seguro para contratistas:

Paterson es una ciudad de cuadrillas pequeñas: dos o tres personas, una camioneta, y trabajo que cruza el condado casi todos los días.

¿Dudas? Escríbenos por WhatsApp y te conectamos con un agente con licencia.

https://example-placeholder.com/es/seguro-para-contratistas-en-paterson

#Contratistas #SeguroDeContratista #COI #SegurosEnEspañol #NuevaJersey

No somos agencia con licencia. Te conectamos con agentes con licencia en NJ/NY. Info educativa, no asesoría.","536","https://example-placeholder.com/es/seguro-para-contratistas-en-paterson","false","","","","","approved",""
"local-contractor-insurance-paterson-es-instagram","instagram","es","local","paterson","contractor-insurance","Lo que más nos preguntan en Paterson sobre seguro para contratistas:

Paterson es una ciudad de cuadrillas pequeñas: dos o tres personas, una camioneta, y trabajo que cruza el condado casi todos los días.

¿Dudas? Escríbenos por WhatsApp y te conectamos con un agente con licencia.

https://example-placeholder.com/es/seguro-para-contratistas-en-paterson

#Contratistas #SeguroDeContratista #COI #SegurosEnEspañol #NuevaJersey

No somos agencia con licencia. Te conectamos con agentes con licencia en NJ/NY. Info educativa, no asesoría.","536","https://example-placeholder.com/es/seguro-para-contratistas-en-paterson","true","image","Foto o gráfico con el nombre ""Paterson, NJ"" y el texto ""Seguro para Contratistas"". Mostrar gente real de oficio, no stock corporativo.","https://example.com/a.jpg","","approved",""
"local-contractor-insurance-paterson-es-tiktok","tiktok","es","local","paterson","contractor-insurance","Lo que más nos preguntan en Paterson sobre seguro para contratistas:

Paterson es una ciudad de cuadrillas pequeñas: dos o tres personas, una camioneta, y trabajo que cruza el condado casi todos los días.

¿Dudas? Escríbenos por WhatsApp y te conectamos con un agente con licencia.

https://example-placeholder.com/es/seguro-para-contratistas-en-paterson

#Contratistas #SeguroDeContratista #COI #SegurosEnEspañol #NuevaJersey

No somos agencia con licencia. Te conectamos con agentes con licencia en NJ/NY. Info educativa, no asesoría.","536","https://example-placeholder.com/es/seguro-para-contratistas-en-paterson","true","video","Foto o gráfico con el nombre ""Paterson, NJ"" y el texto ""Seguro para Contratistas"". Mostrar gente real de oficio, no stock corporativo.","","GANCHO (0-3s): ""Paterson es una ciudad de cuadrillas pequeñas: dos o tres personas, una camioneta, y trabajo que cruza el condado casi todos los días.""
DESARROLLO (3-25s): explica el punto con un ejemplo concreto de la zona.
CIERRE (25-30s): ""Te conectamos gratis con un agente con licencia. Link en bio.""","approved",""
"local-contractor-insurance-paterson-en-facebook","facebook","en","local","paterson","contractor-insurance","Paterson, NJ: here's what nobody explains about contractor insurance.

Paterson runs on small crews: two or three guys, one truck, and work that crosses county lines most days.

Questions? Message us and we connect you with a licensed agent.

https://example-placeholder.com/en/contractor-insurance-paterson

#Contractors #GeneralLiability #COI #NJInsurance #Bilingual

Not a licensed agency. We connect you with licensed NJ/NY agents. Educational info, not advice.","465","https://example-placeholder.com/en/contractor-insurance-paterson","false","","","","","draft",""
"local-contractor-insurance-paterson-en-instagram","instagram","en","local","paterson","contractor-insurance","Paterson, NJ: here's what nobody explains about contractor insurance.

Paterson runs on small crews: two or three guys, one truck, and work that crosses county lines most days.

Questions? Message us and we connect you with a licensed agent.

https://example-placeholder.com/en/contractor-insurance-paterson

#Contractors #GeneralLiability #COI #NJInsurance #Bilingual

Not a licensed agency. We connect you with licensed NJ/NY agents. Educational info, not advice.","465","https://example-placeholder.com/en/contractor-insurance-paterson","true","image","Photo or graphic reading ""Paterson, NJ"" with ""Contractor Insurance"". Real trade workers, not corporate stock.","","","draft",""
"local-contractor-insurance-paterson-en-tiktok","tiktok","en","local","paterson","contractor-insurance","Paterson, NJ: here's what nobody explains about contractor insurance.

Paterson runs on small crews: two or three guys, one truck, and work that crosses county lines most days.

Questions? Message us and we connect you with a licensed agent.

https://example-placeholder.com/en/contractor-insurance-paterson

#Contractors #GeneralLiability #COI #NJInsurance #Bilingual

Not a licensed agency. We connect you with licensed NJ/NY agents. Educational info, not advice.","465","https://example-placeholder.com/en/contractor-insurance-paterson","true","video","Photo or graphic reading ""Paterson, NJ"" with ""Contractor Insurance"". Real trade workers, not corporate stock.","","HOOK (0-3s): ""Paterson runs on small crews: two or three guys, one truck, and work that crosses county lines most days.""
BODY (3-25s): explain the point with one concrete local example.
CLOSE (25-30s): ""We connect you with a licensed agent, free. Link in bio.""","draft",""
"local-cheap-auto-insurance-paterson-es-facebook","facebook","es","local","paterson","cheap-auto-insurance","Si trabajas o vives en Paterson, esto te toca.

En Paterson el carro no es opcional.

¿Dudas? Escríbenos por WhatsApp y te conectamos con un agente con licencia.

https://example-placeholder.com/es/seguro-de-auto-barato-en-paterson

#SeguroDeAuto #Aseguranza #AutoBarato #SegurosEnEspañol #NuevaJersey

No somos agencia con licencia. Te conectamos con agentes con licencia en NJ/NY. Info educativa, no asesoría.","411","https://example-placeholder.com/es/seguro-de-auto-barato-en-paterson","false","","","","","draft",""
"local-cheap-auto-insurance-paterson-es-instagram","instagram","es","local","paterson","cheap-auto-insurance","Si trabajas o vives en Paterson, esto te toca.

En Paterson el carro no es opcional.

¿Dudas? Escríbenos por WhatsApp y te conectamos con un agente con licencia.

https://example-placeholder.com/es/seguro-de-auto-barato-en-paterson

#SeguroDeAuto #Aseguranza #AutoBarato #SegurosEnEspañol #NuevaJersey

No somos agencia con licencia. Te conectamos con agentes con licencia en NJ/NY. Info educativa, no asesoría.","411","https://example-placeholder.com/es/seguro-de-auto-barato-en-paterson","true","image","Foto o gráfico con el nombre ""Paterson, NJ"" y el texto ""Seguro de Auto Barato"". Mostrar gente real de oficio, no stock corporativo.","","","draft",""
"local-cheap-auto-insurance-paterson-es-tiktok","tiktok","es","local","paterson","cheap-auto-insurance","Si trabajas o vives en Paterson, esto te toca.

En Paterson el carro no es opcional.

¿Dudas? Escríbenos por WhatsApp y te conectamos con un agente con licencia.

https://example-placeholder.com/es/seguro-de-auto-barato-en-paterson

#SeguroDeAuto #Aseguranza #AutoBarato #SegurosEnEspañol #NuevaJersey

No somos agencia con licencia. Te conectamos con agentes con licencia en NJ/NY. Info educativa, no asesoría.","411","https://example-placeholder.com/es/seguro-de-auto-barato-en-paterson","true","video","Foto o gráfico con el nombre ""Paterson, NJ"" y el texto ""Seguro de Auto Barato"". Mostrar gente real de oficio, no stock corporativo.","","GANCHO (0-3s): ""En Paterson el carro no es opcional.""
DESARROLLO (3-25s): explica el punto con un ejemplo concreto de la zona.
CIERRE (25-30s): ""Te conectamos gratis con un agente con licencia. Link en bio.""","draft",""
"local-cheap-auto-insurance-paterson-en-facebook","facebook","en","local","paterson","cheap-auto-insurance","Paterson, NJ: here's what nobody explains about cheap auto insurance.

In Paterson a car isn't optional.

We connect you with a licensed agent, free. Message us on WhatsApp.

https://example-placeholder.com/en/cheap-auto-insurance-paterson

#AutoInsurance #CarInsurance #NJInsurance #Bilingual

Not a licensed agency. We connect you with licensed NJ/NY agents. Educational info, not advice.","390","https://example-placeholder.com/en/cheap-auto-insurance-paterson","false","","","","","draft",""
